startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,type,sourceName,value,unit,endDate,Unnamed: 0,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
2023-11-13 21:10:00,240723,Bhula Dena,Mustafa Zahid,Aashiqui 2,0WNCYgCd33LnBnw22WFuq8,StepCount,Casio G-Shock,42.0,count,11/13/23 21:17,51313.0,Mustafa Zahid,Aashiqui 2,Bhula Dena,63.0,240723.0,False,0.515,0.508,4.0,-6.66,0.0,0.0297,0.633,0.0,0.203,0.235,131.731,4.0,hip-hop
2023-11-13 21:10:00,240723,Bhula Dena,Mustafa Zahid,Aashiqui 2,0WNCYgCd33LnBnw22WFuq8,StepCount,Casio G-Shock,42.0,count,11/13/23 21:17,80304.0,Mustafa Zahid,Aashiqui 2,Bhula Dena,63.0,240723.0,False,0.515,0.508,4.0,-6.66,0.0,0.0297,0.633,0.0,0.203,0.235,131.731,4.0,pop-film
2023-11-13 21:30:00,300719,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,StepCount,Casio G-Shock,17.0,count,11/13/23 21:36,34139.0,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49.0,300719.0,False,0.586,0.524,1.0,-8.576,1.0,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,folk
2023-11-13 21:30:00,300719,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,StepCount,Casio G-Shock,17.0,count,11/13/23 21:36,55548.0,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49.0,300719.0,False,0.586,0.524,1.0,-8.576,1.0,0.0436,0.74,2.98e-06,0.136,0.529,98.077,4.0,indian
2023-11-13 21:40:00,322899,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,189DQylImZ1hGZaIpAQUzx,StepCount,iPhone 4s,28.0,count,11/13/23 21:52,80802.0,Anu Malik;Papon;Varun Grover,Dum Laga Ke Haisha,Moh Moh Ke Dhaage (Male),58.0,322899.0,False,0.634,0.344,2.0,-11.011,1.0,0.0288,0.741,6.09e-05,0.111,0.409,128.0,4.0,pop-film
2023-11-13 21:50:00,343066,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,7sSYkaAXRgnzoQYrGgrvlX,StepCount,Casio G-Shock,14.0,count,11/13/23 22:00,55346.0,Madan Mohan;Lata Mangeshkar;Udit Narayan;Javed Akhtar,Veer - Zaara,Yeh Hum Aa Gaye Hain Kahaan,54.0,343066.0,False,0.48,0.753,5.0,-7.33,0.0,0.0454,0.347,0.000335,0.315,0.462,90.027,4.0,indian
2023-11-14 00:20:00,600,Tum Tak,A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),1wnozUBSe7OMpmZiTPJC5j,StepCount,Casio G-Shock,10.0,count,11/14/23 0:24,80151.0,A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,Raanjhanaa (Original Motion Picture Soundtrack),Tum Tak,66.0,304466.0,False,0.72,0.621,2.0,-9.773,1.0,0.0491,0.676,0.0,0.0679,0.566,114.987,4.0,pop-film
2023-11-14 00:20:00,600,Tum Tak,A.R. Rahman,Raanjhanaa (Original Motion Picture Soundtrack),1wnozUBSe7OMpmZiTPJC5j,StepCount,Casio G-Shock,10.0,count,11/14/23 0:24,81850.0,A.R. Rahman;Javed Ali;KIRTI SAGATHIA;Pooja AV,Raanjhanaa (Original Motion Picture Soundtrack),Tum Tak,66.0,304466.0,False,0.72,0.621,2.0,-9.773,1.0,0.0491,0.676,0.0,0.0679,0.566,114.987,4.0,pop
2023-11-14 19:50:00,1258,Sooraj Ki Baahon Mein,Dominique Cerejo,Zindagi Na Milegi Dobara,723xQva0yBF7M6K3nDAG8R,StepCount,iPhone 4s,8.0,count,11/14/23 19:55,,,,,,,,,,,,,,,,,,,,
2023-11-14 20:00:00,11520,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,189DQylImZ1hGZaIpAQUzx,StepCount,Casio G-Shock,8.0,count,11/14/23 20:01,80802.0,Anu Malik;Papon;Varun Grover,Dum Laga Ke Haisha,Moh Moh Ke Dhaage (Male),58.0,322899.0,False,0.634,0.344,2.0,-11.011,1.0,0.0288,0.741,6.09e-05,0.111,0.409,128.0,4.0,pop-film
2023-11-14 20:20:00,1301,Nira Ishq,Guri,Nira Ishq,0Id2IzhR3w50aP2PHfMUE3,StepCount,Casio G-Shock,96.0,count,11/14/23 20:34,51075.0,Guri,Nira Ishq,Nira Ishq,69.0,181514.0,False,0.703,0.609,11.0,-7.3,0.0,0.0444,0.111,0.0,0.0515,0.696,89.929,4.0,hip-hop
2023-11-14 20:20:00,1301,Nira Ishq,Guri,Nira Ishq,0Id2IzhR3w50aP2PHfMUE3,StepCount,Casio G-Shock,96.0,count,11/14/23 20:34,81171.0,Guri,Nira Ishq,Nira Ishq,69.0,181514.0,False,0.703,0.609,11.0,-7.3,0.0,0.0444,0.111,0.0,0.0515,0.696,89.929,4.0,pop
