startDate,ms_played,track_name_x,artist_name,album_name_x,track_id,value,unit,endDate,artists,album_name_y,track_name_y,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
11/11/23 20:50,3590,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,7y2LdSannuZhlHK3eTOyly,95,count/min,11/11/23 20:55,Kailash Kher;Meet Bros Anjjan,Best Of Kailash Kher,"Mere Nishaan (From ""Oh My God"")",49,300719,FALSE,0.586,0.524,1,-8.576,1,0.0436,0.74,2.98E-06,0.136,0.529,98.077
11/11/23 21:00,980,"Sochenge Tumhe Pyar (From ""Deewana"")",Kumar Sanu,"Bollywood Best Trio - Kumar Sanu, Nadeem - Shravan",00wU6YKnzNlavZ1TPpLUlp,96,count/min,11/11/23 21:09,,,,,,,,,,,,,,,,,
11/11/23 21:10,265238,Neele Neele Ambar Par - Male Version,Kalyanji-Anandji,Kalaakaar (Original Motion Picture Soundtrack),02zPo0Dt0R4TTFY5zLJZnK,100,count/min,11/11/23 21:16,,,,,,,,,,,,,,,,,
11/11/23 21:20,242080,Commentry Tabassum And Humen Tumse Pyar Kitna,Tabassum,Flash Back - Kishore Kumar With Tabassum,0whjGr7gU3X93lNTpLQhys,104,count/min,11/11/23 21:26,,,,,,,,,,,,,,,,,
11/11/23 21:30,290146,Ek Main Aur Ek Tu,Asha Bhosle,Khel Khel Mein,0m23fTE5D9lfYyVyfm5RoL,93,count/min,11/11/23 21:36,,,,,,,,,,,,,,,,,
11/11/23 21:40,1240,Baad Muddat Unhain - Main Aur Meri Tanhai / Soundtrack Version,Jagjit Singh,Dard-E-Jigar,45lNSRwDxSACwGtblFOak5,99,count/min,11/11/23 21:49,,,,,,,,,,,,,,,,,
11/11/23 21:50,87099,Beqarar Karke Hamen Yun Na Jaiye,Hemant Kumar,"Baarishein, Chai Aur Hemant Kumar",2Is7ElE0yrqns54eNSw4Jt,100,count/min,11/11/23 21:57,,,,,,,,,,,,,,,,,
11/11/23 22:00,296720,Soniye,KK,Aksar,5O4AGvOVFSs5ipu3iNOuoi,97,count/min,11/11/23 22:06,KK;Sunidhi Chauhan,Aksar,Soniye,57,296720,FALSE,0.615,0.76,2,-8.082,1,0.0761,0.0701,3.95E-05,0.12,0.743,171.951
11/11/23 22:10,266145,Ek Ajnabee Haseena Se,Kishore Kumar,Ajanabee,1mPNK9DQVA7gJNtJ20PZu3,93,count/min,11/11/23 22:19,Kishore Kumar;R. D. Burman,Ajanabee,Ek Ajnabee Haseena Se,62,266145,FALSE,0.331,0.551,6,-8.505,1,0.0379,0.989,0.511,0.564,0.664,97.18
11/11/23 22:20,1800,Aaj Ki Party,Pritam,Bajrangi Bhaijaan,1vmQPVE7vbgSZ12C8MlKX8,95,count/min,11/11/23 22:28,,,,,,,,,,,,,,,,,
11/11/23 22:30,1400,Zindagi Kuch Toh Bata (Reprise),Pritam,Bajrangi Bhaijaan,6TGX01ExmdHyOG72fqUU3Q,83,count/min,11/11/23 22:35,Jubin Nautiyal,Bajrangi Bhaijaan,Zindagi Kuch Toh Bata (Reprise),64,258877,FALSE,0.528,0.615,5,-7.118,1,0.0372,0.491,0.000111,0.104,0.225,123.988
