Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
17:00:00.000-08:00,17:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
17:15:00.000-08:00,17:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
17:30:00.000-08:00,17:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
17:45:00.000-08:00,18:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
18:00:00.000-08:00,18:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
18:15:00.000-08:00,18:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
18:30:00.000-08:00,18:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
18:45:00.000-08:00,19:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
19:00:00.000-08:00,19:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
19:15:00.000-08:00,19:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
19:30:00.000-08:00,19:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
19:45:00.000-08:00,20:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
20:00:00.000-08:00,20:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
20:15:00.000-08:00,20:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
20:30:00.000-08:00,20:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
20:45:00.000-08:00,21:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
21:00:00.000-08:00,21:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
21:15:00.000-08:00,21:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
21:30:00.000-08:00,21:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
21:45:00.000-08:00,22:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
22:00:00.000-08:00,22:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
22:15:00.000-08:00,22:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
22:30:00.000-08:00,22:45:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
22:45:00.000-08:00,23:00:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
23:00:00.000-08:00,23:15:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
23:15:00.000-08:00,23:30:00.000-08:00,,18.601562927188734,,,,,,,,,,,,,,
23:30:00.000-08:00,23:45:00.000-08:00,6,18.601562927188734,236.2299223327967,,,,,,,0.6252210215682478,0.7652366757392883,0.3262324929237366,362,,,
23:45:00.000-08:00,00:00:00.000-08:00,1,18.60156277783784,54.90156646725215,,,,,,,0.6470799779285038,0.7183876037597656,0.49806490540504456,96,,,
