Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms)
15:15:00.000-08:00,15:30:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
15:30:00.000-08:00,15:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
15:45:00.000-08:00,16:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
16:00:00.000-08:00,16:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
16:15:00.000-08:00,16:30:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
16:30:00.000-08:00,16:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
16:45:00.000-08:00,17:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
17:00:00.000-08:00,17:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
17:15:00.000-08:00,17:30:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
17:30:00.000-08:00,17:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
17:45:00.000-08:00,18:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
18:00:00.000-08:00,18:15:00.000-08:00,,19.122395833333332,,,,,,,,,,,13,,,,,
18:15:00.000-08:00,18:30:00.000-08:00,,19.122395833333336,,,,,,,,,,,,,,,,
18:30:00.000-08:00,18:45:00.000-08:00,,19.122395833333336,,,,,,,,,,,,,,,,
18:45:00.000-08:00,19:00:00.000-08:00,,19.122395833333336,,,,,,,,,,,,,,,,
19:00:00.000-08:00,19:15:00.000-08:00,3,19.122395833333336,70.46621984595537,,,,,,,0.5538138396604869,0.7813952078726477,0.3262324714483262,118,,,,,
19:15:00.000-08:00,19:30:00.000-08:00,1,19.122395833333336,39.727608841934604,,,,,,,0.8604482268163416,1.206378010426405,0.5145184432062783,70,,,,,
19:30:00.000-08:00,19:45:00.000-08:00,1,19.122395833333332,60.31029220636991,,,,,,,0.3660265981083131,1.0490844133998172,0.28153829914525824,103,,,,,
19:45:00.000-08:00,20:00:00.000-08:00,,19.122395833333332,,,,,,,,,,,18,,,,,
20:00:00.000-08:00,20:15:00.000-08:00,,19.122395833333332,20.878879954357146,,,,,,,0.3262324784079518,0.3262324784079518,0.3262324784079518,32,,,,,
20:15:00.000-08:00,20:30:00.000-08:00,3,19.122395833333336,94.69585224602388,,,,,,,0.6019191843460844,0.9342949045394399,0.2521116632557303,145,,,,,
20:30:00.000-08:00,20:45:00.000-08:00,,19.122395833333332,,,,,,,,,,,,,,,,
