Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Walking duration (ms),Running duration (ms)
13:30:00.000-07:00,13:45:00.000-07:00,1,19.434893345794162,44.36761999130249,,,,,,,0.37164712669638506,0.4554007649421692,0.280321329832077,105,,,,,,
13:45:00.000-07:00,14:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
14:00:00.000-07:00,14:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
14:15:00.000-07:00,14:30:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
14:30:00.000-07:00,14:45:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
14:45:00.000-07:00,15:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
15:00:00.000-07:00,15:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
15:15:00.000-07:00,15:30:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
15:30:00.000-07:00,15:45:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
15:45:00.000-07:00,16:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
16:00:00.000-07:00,16:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
16:15:00.000-07:00,16:30:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
16:30:00.000-07:00,16:45:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
16:45:00.000-07:00,17:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
17:00:00.000-07:00,17:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
17:15:00.000-07:00,17:30:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
17:30:00.000-07:00,17:45:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
17:45:00.000-07:00,18:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
18:00:00.000-07:00,18:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
18:15:00.000-07:00,18:30:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
18:30:00.000-07:00,18:45:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
18:45:00.000-07:00,19:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
19:00:00.000-07:00,19:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
19:15:00.000-07:00,19:30:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
19:30:00.000-07:00,19:45:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
19:45:00.000-07:00,20:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
20:00:00.000-07:00,20:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
20:15:00.000-07:00,20:30:00.000-07:00,,19.43489512257575,15.006694793701172,,,,,,,0.25011155009269714,0.25011155009269714,0.25011155009269714,23,,,,,,
20:30:00.000-07:00,20:45:00.000-07:00,,19.43489512257575,,,,,,,,,,,,,,,,,
20:45:00.000-07:00,21:00:00.000-07:00,,19.43489512257575,,,,,,,,,,,39,,,,,,
21:00:00.000-07:00,21:15:00.000-07:00,,19.43489512257575,,,,,,,,,,,11,,,,,,
21:15:00.000-07:00,21:30:00.000-07:00,4,27.044552725142633,147.45708847045898,,,,,,,0.45238471433374894,0.7076626420021057,0.3262324631214142,239,,,,,90633,
21:30:00.000-07:00,21:45:00.000-07:00,3,19.434895079308887,93.30249118804932,,,,,,,0.48015324425397066,0.7203274369239807,0.3086860775947571,183,,,,,,
21:45:00.000-07:00,22:00:00.000-07:00,6,46.90281194218089,245.97480154037476,,,,,,,0.5796832003973162,0.9608075022697449,0.3262324929237366,374,,,,,327150,
22:00:00.000-07:00,22:15:00.000-07:00,1,19.434895165192472,23.488739013671875,,,,,,,0.4817214608192444,0.4817214608192444,0.4817214608192444,102,,,,,,
22:15:00.000-07:00,22:30:00.000-07:00,2,19.434895165192472,46.32501220703125,,,,,,,0.3262324929237366,0.3262324929237366,0.3262324929237366,113,,,,,,
22:30:00.000-07:00,22:45:00.000-07:00,,19.434895165192472,,,,,,,,,,,,,,,,,
22:45:00.000-07:00,23:00:00.000-07:00,,19.434895165192472,15.006694793701172,,,,,,,0.25011155009269714,0.25011155009269714,0.25011155009269714,23,,,,,,
23:00:00.000-07:00,23:15:00.000-07:00,4,24.468089764011346,135.42287921905518,,,,,,,0.7018797839854561,1.1400177478790283,0.25011155009269714,201,,,,,59947,
23:15:00.000-07:00,23:30:00.000-07:00,2,37.49361195622774,83.90880241399545,,,,,,,0.43716788367428827,0.554176926612854,0.3150184750556946,128,,,,,215084,
23:30:00.000-07:00,23:45:00.000-07:00,3,94.99999702151995,100.96694049829703,,,,,,,0.41141219403943763,0.743485689163208,0.27186039090156555,209,,,,,900000,
23:45:00.000-07:00,00:00:00.000-07:00,1,46.111055597548656,76.33840274810791,,,,,,,0.3209021025602321,0.39091038703918457,0.26098597049713135,134,,,,,317720,
