startDate,ms_played,track_name,artist_name,album_name,url,type,sourceName,value,unit,endDate
2023-11-17 22:00:00,190960,Tera Mera Pyar Amar - Lata Mangeshkar,Lata Mangeshkar,Asli Naqli,spotify:track:0Sm3rEToKnYX3vIjDzrQmn,HeartRate,Casio G-Shock,79.0,count/min,11/17/23 22:05
2023-11-17 22:10:00,265926,Do Pal,Madan Mohan,Veer - Zaara,spotify:track:7fyIuR4aaWb6iltlAoSkxF,HeartRate,Casio G-Shock,77.0,count/min,11/17/23 22:14
2023-11-17 23:30:00,1180,Lazy Lamhe,Shankar-Ehsaan-Loy,Thoda Pyaar Thoda Magic,spotify:track:2IZQG2wYoVncO3hWCD4IyM,HeartRate,Casio G-Shock,84.0,count/min,11/17/23 23:36
2023-11-17 23:40:00,294608,Isq Risk - Instrumental,Sohail Sen,Yrf Romantic Melodies – Instrumental,spotify:track:255dwsEGFdK8Prtb2KObc1,HeartRate,Casio G-Shock,78.0,count/min,11/17/23 23:46
2023-11-17 23:50:00,6187,Meeting Place,Ranbir Kapoor,Rockstar,spotify:track:09NCo4MjEUXzQ12sRoZBWJ,HeartRate,Casio G-Shock,76.0,count/min,11/17/23 23:57
2023-11-18 00:10:00,7080,Meeting Place,Ranbir Kapoor,Rockstar,spotify:track:09NCo4MjEUXzQ12sRoZBWJ,HeartRate,Casio G-Shock,73.0,count/min,11/18/23 0:16
2023-11-18 00:20:00,5240,Ye Jawaani Teri,Sachin-Jigar,Meri Pyaari Bindu,spotify:track:5BE6214zFFNKBCYYj1sFpu,HeartRate,Casio G-Shock,73.0,count/min,11/18/23 0:26
2023-11-18 00:30:00,49140,Main Koi Aisa Geet Gaoon,Abhijeet,Yes Boss,spotify:track:0WBClBemYPJR44H6uIn0kp,HeartRate,Casio G-Shock,73.0,count/min,11/18/23 0:36
2023-11-19 20:50:00,6493,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,spotify:track:189DQylImZ1hGZaIpAQUzx,HeartRate,Casio G-Shock,79.0,count/min,11/19/23 20:57
2023-11-19 21:00:00,252200,Gale Lag Ja - Version 1,Javed Ali,De Dana Dan,spotify:track:2yBxVCCJkfCuwhA0GR2VwA,HeartRate,Casio G-Shock,85.0,count/min,11/19/23 21:06
2023-11-19 21:10:00,13653,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7y2LdSannuZhlHK3eTOyly,HeartRate,Casio G-Shock,86.0,count/min,11/19/23 21:16
2023-11-19 21:20:00,194602,Socha Hai,Farhan Akhtar,Rock On,spotify:track:7IjnfuMNfdrAXbefurdIIR,HeartRate,Casio G-Shock,88.0,count/min,11/19/23 21:28
2023-11-20 00:40:00,5376,Rock On!!,Farhan Akhtar,Rock On,spotify:track:6fABlNfAOylt7ZxfX8K1XL,HeartRate,Casio G-Shock,54.0,count/min,11/20/23 0:49
2023-11-20 00:50:00,138047,Tere Liye,Madan Mohan,Veer - Zaara,spotify:track:3i11e2jzUtO3jChiFl3v9x,HeartRate,Casio G-Shock,52.0,count/min,11/20/23 0:59
2023-11-20 17:30:00,285450,Main Yahaan Hoon,Madan Mohan,Veer - Zaara,spotify:track:3OAFzjwWionh8OfM4kgf2R,HeartRate,Casio G-Shock,68.0,count/min,11/20/23 17:37
2023-11-20 17:40:00,427781,Aisa Des Hai Mera,Madan Mohan,Veer - Zaara,spotify:track:4M7pu2MwyGysZM4deGXueq,HeartRate,Casio G-Shock,68.0,count/min,11/20/23 17:45
2023-11-20 17:50:00,42096,Kyon Hawa,Madan Mohan,Veer - Zaara,spotify:track:2cNeEQhITgmjkk5SHd5IXY,HeartRate,Casio G-Shock,67.0,count/min,11/20/23 17:58
