,video_category,mental_health_category,avg_score,count
103,Tutorial,mindfulness and mental wellness,0.6479600831866265,60
104,Podcast,therapy and mental health support,0.582244283166425,58
105,Podcast,social anxiety and relationships,0.574965523000349,57
106,Sports,emotional health discussion,0.5216613877237891,57
107,Reviews,mental health education,0.6046755920376692,57
108,Gaming,social anxiety and relationships,0.524314109236002,56
109,News,work-life balance and burnout,0.5602055224505338,55
110,Gaming,anxiety and stress management,0.5172202736139297,54
111,Gaming,mental health education,0.523300197326912,53
112,Tutorial,addiction awareness and recovery,0.5707027637491039,51
113,Reviews,therapy and mental health support,0.5688290845374673,49
114,Reviews,work-life balance and burnout,0.6037354797733074,49
115,Reviews,social anxiety and relationships,0.5531313332418603,48
116,Reviews,trauma awareness and healing,0.5336155098803501,47
117,Gaming,sleep and mental wellness,0.659311593847072,47
118,News,social anxiety and relationships,0.5768849389708562,46
119,News,trauma awareness and healing,0.5656470901436276,45
120,Podcast,anxiety and stress management,0.5043905907207066,45
121,Reviews,depression and emotional support,0.5546959166119738,41
122,News,anxiety and stress management,0.45848675519227977,40
123,Sports,mental health education,0.5413037993013858,40
124,Sports,trauma awareness and healing,0.5698181673884392,40
125,Sports,social anxiety and relationships,0.49746531171676417,39
126,Gaming,trauma awareness and healing,0.5042113829881717,39
127,Podcast,depression and emotional support,0.5310975718192563,39
128,Tutorial,emotional health discussion,0.47777010232974326,39
129,News,mental health education,0.5660036786606436,38
130,Reviews,anxiety and stress management,0.5000984770687003,38
131,Podcast,sleep and mental wellness,0.5400219340534773,34
132,Reviews,sleep and mental wellness,0.5864847284906051,34
133,Tutorial,mental health education,0.5633113629677717,34
134,News,therapy and mental health support,0.5242498652501539,33
135,Sports,anxiety and stress management,0.4762231626293875,33
136,Tutorial,trauma awareness and healing,0.522927160224607,31
137,News,depression and emotional support,0.49755468858139873,28
138,Sports,therapy and mental health support,0.50568867943905,27
139,Gaming,therapy and mental health support,0.5159130188135,26
140,Tutorial,therapy and mental health support,0.550387461980184,24
141,Tutorial,work-life balance and burnout,0.49793396517634386,24
142,Education,motivation and mental strength,0.8012749155362449,24
143,Education,self-improvement and personal growth,0.8790983428125796,23
144,Gaming,depression and emotional support,0.541732224551114,22
145,News,sleep and mental wellness,0.44291234016418457,18
146,Education,mental health experiences,0.7075139021172244,17
147,Sports,sleep and mental wellness,0.5733814164996147,16
148,Education,mindfulness and mental wellness,0.6639399547129868,16
149,Education,self-care practices,0.650631958246231,15
150,Tutorial,social anxiety and relationships,0.5512468091079166,14
151,Education,work-life balance and burnout,0.4801209398678371,14
152,Sports,depression and emotional support,0.4828504366534097,14
153,Tutorial,depression and emotional support,0.41084474325180054,13
154,Tutorial,anxiety and stress management,0.3741960089940291,13
155,Tutorial,sleep and mental wellness,0.6866059761780959,13
156,Education,addiction awareness and recovery,0.6942698634587801,13
157,Education,emotional health discussion,0.6065841385951408,13
158,Education,mental health education,0.6211615627010664,12
159,Education,trauma awareness and healing,0.5927555590867997,10
160,Education,therapy and mental health support,0.4982909758885701,9
161,Vlogs,self-improvement and personal growth,0.6805947609245777,8
162,Education,depression and emotional support,0.5267627962997982,7
163,Education,social anxiety and relationships,0.5103846830981118,7
164,Vlogs,motivation and mental strength,0.6873172372579575,6
165,Vlogs,self-care practices,0.5795088062683742,6
166,Education,anxiety and stress management,0.6097492456436158,5
167,Education,sleep and mental wellness,0.48624288439750674,5
168,Vlogs,mental health experiences,0.5203017294406891,4
169,Vlogs,mindfulness and mental wellness,0.7466599345207214,4
170,Vlogs,mental health education,0.5532244741916656,2
171,Vlogs,sleep and mental wellness,0.5472574383020401,2
172,Vlogs,addiction awareness and recovery,0.6277778148651123,2
173,Vlogs,emotional health discussion,0.631819412112236,2
174,Vlogs,social anxiety and relationships,0.4158695936203003,2
175,Vlogs,therapy and mental health support,0.3501334190368652,1
176,Vlogs,work-life balance and burnout,0.4110550880432129,1
177,Vlogs,trauma awareness and healing,0.5819242596626282,1
178,Vlogs,depression and emotional support,0.4655236303806305,1
