category,sentiment,timestamp_str,score,original_timestamp,timestamp
work-life balance and burnout,NEGATIVE,2025-02-07T14:52:11+00:00,0.4480364620685577,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
sleep and mental wellness,NEGATIVE,2025-02-07T14:52:11+00:00,0.4186268746852875,2025-02-07 14:52:11+00:00,2025-02-07 14:50:00+00:00
self-improvement and personal growth,POSITIVE,2025-02-07T14:56:27+00:00,0.8519154191017151,2025-02-07 14:56:27+00:00,2025-02-07 14:55:00+00:00
self-care practices,POSITIVE,2025-02-07T14:56:27+00:00,0.7202858328819275,2025-02-07 14:56:27+00:00,2025-02-07 14:55:00+00:00
mindfulness and mental wellness,POSITIVE,2025-02-07T14:56:27+00:00,0.6352360844612122,2025-02-07 14:56:27+00:00,2025-02-07 14:55:00+00:00
motivation and mental strength,POSITIVE,2025-02-07T14:56:27+00:00,0.5957745313644409,2025-02-07 14:56:27+00:00,2025-02-07 14:55:00+00:00
mental health experiences,POSITIVE,2025-02-07T14:56:27+00:00,0.5940569043159485,2025-02-07 14:56:27+00:00,2025-02-07 14:55:00+00:00
self-improvement and personal growth,NEGATIVE,2025-02-07T15:20:31+00:00,0.8535723090171814,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
social anxiety and relationships,NEGATIVE,2025-02-07T15:20:31+00:00,0.819674551486969,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
motivation and mental strength,NEGATIVE,2025-02-07T15:20:31+00:00,0.6777885556221008,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
mental health experiences,NEGATIVE,2025-02-07T15:20:31+00:00,0.6192885041236877,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
self-care practices,NEGATIVE,2025-02-07T15:20:31+00:00,0.6094375848770142,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
mindfulness and mental wellness,NEGATIVE,2025-02-07T15:20:31+00:00,0.4137073457241058,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
emotional health discussion,NEGATIVE,2025-02-07T15:20:31+00:00,0.3972254395484924,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
trauma awareness and healing,NEGATIVE,2025-02-07T15:20:31+00:00,0.3769289255142212,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
depression and emotional support,NEGATIVE,2025-02-07T15:20:31+00:00,0.3418964445590973,2025-02-07 15:20:31+00:00,2025-02-07 15:20:00+00:00
self-improvement and personal growth,POSITIVE,2025-02-07T15:20:55+00:00,0.9410668015480042,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
mindfulness and mental wellness,POSITIVE,2025-02-07T15:20:55+00:00,0.9125329852104188,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
self-care practices,POSITIVE,2025-02-07T15:20:55+00:00,0.8926615118980408,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
mental health experiences,POSITIVE,2025-02-07T15:20:55+00:00,0.7754819393157959,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
motivation and mental strength,POSITIVE,2025-02-07T15:20:55+00:00,0.7585430145263672,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
sleep and mental wellness,POSITIVE,2025-02-07T15:20:55+00:00,0.6509977579116821,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
emotional health discussion,POSITIVE,2025-02-07T15:20:55+00:00,0.613886833190918,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
mental health education,POSITIVE,2025-02-07T15:20:55+00:00,0.5873279571533203,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
addiction awareness and recovery,POSITIVE,2025-02-07T15:20:55+00:00,0.5262295603752136,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
therapy and mental health support,POSITIVE,2025-02-07T15:20:55+00:00,0.5168743133544922,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
trauma awareness and healing,POSITIVE,2025-02-07T15:20:55+00:00,0.458433598279953,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
depression and emotional support,POSITIVE,2025-02-07T15:20:55+00:00,0.3916018307209015,2025-02-07 15:20:55+00:00,2025-02-07 15:20:00+00:00
motivation and mental strength,NEGATIVE,2025-02-07T15:21:44+00:00,0.3213021457195282,2025-02-07 15:21:44+00:00,2025-02-07 15:20:00+00:00
