27614,ya pueden empezar a crear con 'CONTIGO' 💖🫶🏼🎂#KarolGContigo presentado por Youtube Shorts,"Feb 28, 2024, 9:38:37 PM PST",Shorts,,NEGATIVE,0.9598826169967651,commentary,entertainment,"funny,informative,dramatic,casual",0.9842678904533386
27615,https://www.youtube.com/watch?v=fSg35HUM4SQ,"Feb 28, 2024, 9:30:53 PM PST",Entertainment,,NEGATIVE,0.9389244318008423,reaction,information,"informative,funny,dramatic,serious,professional",0.7810722589492798
27616,JOHN MULANEY Talks About His DAD 😂 #shorts,"Feb 28, 2024, 9:30:50 PM PST",Comedy,,POSITIVE,0.9790462255477905,commentary,comedy,"personal,funny,casual,dramatic,informative",0.997679591178894
27617,Ice cream-making robot in Japan 🐮🍦 #japan #tokyo #mukbang,"Feb 28, 2024, 9:30:26 PM PST",Technology,,NEGATIVE,0.9612866044044495,news,entertainment,"funny,informative,dramatic,professional",0.9343300461769104
27618,"I HATE This Coding Question, but FAANG Loves it! | Majority Element - Leetcode 169","Feb 28, 2024, 9:29:28 PM PST",Technology,,POSITIVE,0.9983355402946472,news,unknown,"personal,funny,dramatic,serious,informative",0.3309166133403778
27619,English as a second language #shorts #mindyourlanguage,"Feb 28, 2024, 8:37:58 PM PST",Shorts,,NEGATIVE,0.9837061166763306,guide,education,"casual,funny,informative,dramatic",0.9663419127464294
27620,Dan John’s FLEXIBILITY hack,"Feb 28, 2024, 8:37:55 PM PST",Technology,,NEGATIVE,0.9983906745910645,guide,information,"informative,professional,dramatic,funny,serious",0.8594234585762024
27621,Ankkita revealed Hellff's first salary,"Feb 28, 2024, 7:27:10 PM PST",News,,POSITIVE,0.6836919784545898,news,information,"informative,dramatic,professional,serious,funny",0.44913387298583984
27622,Frustrating moments in Valorant 🤬#shorts,"Feb 28, 2024, 7:27:08 PM PST",Shorts,,NEGATIVE,0.99880051612854,reaction,unknown,,0.9766318202018738
27623,Men will be men 😂 #shorts,"Feb 28, 2024, 7:26:55 PM PST",Shorts,,NEGATIVE,0.9591548442840576,reaction,comedy,"funny,casual,informative",0.9919677972793579
27624,https://www.youtube.com/watch?v=xrmMw8QcRjY,"Feb 28, 2024, 7:25:21 PM PST",Entertainment,,NEGATIVE,0.9559891819953918,reaction,information,"informative,funny,dramatic,serious,professional",0.7544957399368286
27625,When AnkkitaC shows her crisp aim 🔥,"Feb 28, 2024, 7:23:25 PM PST",Sports,,POSITIVE,0.9824313521385193,news,entertainment,"professional,dramatic,informative,serious,funny,personal",0.6194722056388855
27626,Sussy talk in watchparty 💀 #shorts,"Feb 28, 2024, 7:23:01 PM PST",Shorts,,NEGATIVE,0.9887418150901794,commentary,entertainment,"dramatic,funny",0.9815915822982788
27627,Toxic Ankkita 😈 #shorts,"Feb 28, 2024, 7:23:00 PM PST",Shorts,,NEGATIVE,0.9983096122741699,reaction,information,"dramatic,funny,personal,informative,serious",0.9278414845466614
27628,Sneaky queen 😗 #shorts,"Feb 28, 2024, 7:22:44 PM PST",Shorts,,NEGATIVE,0.9918879866600037,commentary,comedy,"funny,dramatic,informative,personal,casual",0.9926855564117432
27629,Soundboard masti in Watchparty 🤣 #shorts #vct,"Feb 28, 2024, 7:22:38 PM PST",Shorts,,NEGATIVE,0.9897376894950867,commentary,entertainment,"funny,informative,dramatic,casual",0.9842858910560608
27630,When Hellff takes over my Game 😂,"Feb 28, 2024, 7:22:07 PM PST",Gaming,Gameplay,NEGATIVE,0.9782866835594177,gameplay,comedy,"funny,dramatic,personal,informative,serious",0.9814621806144714
27631,80's lo-fi chillout 💧 Rainy Lofi Hip Hop Mix for a Chillout Session [ Beats To Relax / Chill To ],"Feb 28, 2024, 7:10:21 PM PST",Music,Music Mix,NEGATIVE,0.8241965174674988,unknown,unknown,,0.9953514337539673
27632,Cupid - Fifty Fifty ( Twin Version),"Feb 28, 2024, 6:45:36 PM PST",Entertainment,,POSITIVE,0.7679645419120789,guide,information,"informative,dramatic,funny,serious",0.21386398375034332
27633,POONAM PANDEY LEAKED FOOTAGE,"Feb 28, 2024, 3:39:59 PM PST",News,,NEGATIVE,0.9979107975959778,news,information,"serious,dramatic,informative,funny",0.4588649272918701
27634,"Shaitaan Trailer | Ajay Devgn, R Madhavan, Jyotika | Jio Studios, Devgn Films, Panorama Studios","Feb 28, 2024, 3:37:30 PM PST",Entertainment,,NEGATIVE,0.7769730091094971,reaction,storytelling,"informative,dramatic,professional,serious,funny",0.9756340980529785
27635,Passive Income Ideas for F1 Students in USA - Side Hustles on F1 Visa,"Feb 28, 2024, 3:31:22 PM PST",Technology,,NEGATIVE,0.9950881600379944,guide,information,informative,0.09737789630889893
27636,1 A.M Chill Session 🌌 [synthwave],"Feb 28, 2024, 2:09:06 PM PST",Music,Music Mix,NEGATIVE,0.9101824164390564,unknown,unknown,,0.9899935722351074
27637,Porter Robinson - Look At The Sky (Secret Sky Edit),"Feb 28, 2024, 2:02:52 PM PST",Podcast,,POSITIVE,0.9769405126571655,commentary,storytelling,"informative,professional,dramatic,personal,funny,serious",0.9327769875526428
27638,Porter Robinson - Get Your Wish (Secret Sky Edit),"Feb 28, 2024, 1:51:09 PM PST",Podcast,,POSITIVE,0.6360278129577637,guide,storytelling,"informative,professional,dramatic,serious,funny,personal",0.9585313200950623
27639,Porter Robinson - Mirror (Secret Sky Edit),"Feb 28, 2024, 1:45:02 PM PST",Podcast,,NEGATIVE,0.7549549341201782,commentary,storytelling,"informative,professional,dramatic,serious,funny,personal",0.7674347162246704
27640,Mr.Kitty • After Dark // Jennifer Connelly • Career Opportunities,"Feb 28, 2024, 1:37:34 PM PST",Entertainment,,POSITIVE,0.999312162399292,guide,information,"informative,dramatic,funny,professional",0.572924792766571
27641,ROSA WALTON & HALLIE COGGINS - I REALLY WANT TO STAY AT YOUR HOUSE (LYRIC) AMV CYBERPUNK EDGERUNNERS,"Feb 28, 2024, 1:33:24 PM PST",Music,Lyric Video,POSITIVE,0.9969208240509033,unknown,unknown,,0.8867806196212769
27642,"Malang Sajna (Video) Sachet Tandon, Parampara Tandon | Adil Shaikh, Kumaar | Bhushan Kumar","Feb 28, 2024, 1:30:46 PM PST",Comedy,,NEGATIVE,0.9625982642173767,reaction,storytelling,"dramatic,funny,informative,serious,professional",0.784318208694458
27643,Akhiyaan (Acoustic),"Feb 28, 2024, 12:56:41 PM PST",Music,Official Music Video,POSITIVE,0.9883926510810852,unknown,unknown,,0.8391548991203308
27644,Tu hai kahan,"Feb 28, 2024, 12:52:18 PM PST",Comedy,,POSITIVE,0.9945993423461914,reaction,information,"dramatic,funny,informative,serious,casual,personal,professional",0.7617990970611572
27645,tere bina,"Feb 28, 2024, 12:49:41 PM PST",Entertainment,,POSITIVE,0.6518833041191101,reaction,information,"dramatic,informative,serious,casual,funny,personal,professional",0.39400428533554077
27646,Obsessed,"Feb 28, 2024, 12:46:30 PM PST",Entertainment,,NEGATIVE,0.9962583780288696,reaction,information,"personal,dramatic,serious",0.6765794157981873
27647,Cheques,"Feb 28, 2024, 12:46:29 PM PST",Gaming,Gaming News,POSITIVE,0.9075957536697388,guide,information,"informative,serious,professional,dramatic,funny,casual",0.22550441324710846
27648,All Automated EDA Libraries All At One Place,"Feb 28, 2024, 11:06:59 AM PST",Technology,,NEGATIVE,0.95525062084198,news,education,"informative,professional,dramatic,serious",0.9710353016853333
27649,Dekha Ek Khwab - Lofi,"Feb 28, 2024, 11:01:13 AM PST",Comedy,,POSITIVE,0.9634705781936646,guide,storytelling,"dramatic,informative,serious,funny,professional,casual",0.9006370902061462
27650,Jaan Nisaar Lofi Mix By L3AD,"Feb 28, 2024, 10:54:24 AM PST",Music,Music Mix,POSITIVE,0.9254096150398254,unknown,unknown,,0.996566653251648
27651,Yeh Dooriyan (Lofi Flip),"Feb 28, 2024, 10:50:17 AM PST",Entertainment,,NEGATIVE,0.9496594667434692,reaction,storytelling,"dramatic,informative,funny,serious,professional,casual",0.6790263652801514
27652,Laaree Chootee,"Feb 28, 2024, 10:47:13 AM PST",Music,Official Music Video,NEGATIVE,0.9852235317230225,unknown,unknown,,0.9618505239486694
