end_time,ms_played,track_name,artist_name,album_name,url
2023-11-14 00:40:00,2140,"Naina Lade (From ""Dabangg 3"")",Javed Ali,"Naina Lade (From ""Dabangg 3"")",spotify:track:5YHEjmGmxm1vxYmgWo3y33
2023-11-14 00:50:00,15250,Piya Re Piya,Yasser Desai,Piya Re Piya,spotify:track:1ZAqYLDGyvHfFZDc3kX12V
2023-11-14 01:50:00,83270,Khalasi | Coke Studio Bharat,Aditya Gadhvi,Khalasi | Coke Studio Bharat,spotify:track:5LSAafg2oH9YPgf3EG17iw
2023-11-14 19:30:00,187942,Pichle Saat Dinon Mein (Album Version),Farhan Akhtar,Rock On,spotify:track:1QQqHS80CpR8tA2lR8O65y
2023-11-14 19:40:00,2751,Challa,A.R. Rahman,Jab Tak Hai Jaan,spotify:track:6wXPV6dNRAhFavrRaCdMXT
2023-11-14 19:50:00,1258,Sooraj Ki Baahon Mein,Dominique Cerejo,Zindagi Na Milegi Dobara,spotify:track:723xQva0yBF7M6K3nDAG8R
2023-11-14 20:00:00,11520,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,spotify:track:189DQylImZ1hGZaIpAQUzx
2023-11-14 20:10:00,7010,Illegal Weapon,Garry Sandhu,Illegal Weapon,spotify:track:3Oe3VdPn6rAueriQvFhCBA
2023-11-14 20:20:00,1301,Nira Ishq,Guri,Nira Ishq,spotify:track:0Id2IzhR3w50aP2PHfMUE3
2023-11-14 20:30:00,191978,Tu Jaane Na,Atif Aslam,Best of Romance: Atif Aslam & Pritam,spotify:track:5vGiuYFSGekGLgbxhV1rD5
2023-11-14 20:40:00,51170,Subhanallah Lofi Mix,Pritam,Subhanallah Lofi Mix,spotify:track:1pnC5d46tqFwjqGtbjJPn7
2023-11-14 20:50:00,269200,Daaru Desi,Benny Dayal,Cocktail (Original Motion Picture Soundtrack),spotify:track:5pAo2q7eVt65OSkwYgqhHl
2023-11-14 21:00:00,249707,Subhanallah,Pritam,Yeh Jawaani Hai Deewani,spotify:track:0GQngE2rOYvlKwEQjTAsP8
2023-11-14 21:10:00,265717,"Mere Nishaan (From ""Oh My God"")",Kailash Kher,Best Of Kailash Kher,spotify:track:7y2LdSannuZhlHK3eTOyly
2023-11-14 21:20:00,198391,Kabira,Pritam,Yeh Jawaani Hai Deewani,spotify:track:4bD9z9qa4qg9BhryvYWB7c
2023-11-14 21:30:00,66340,"Chaand Taare (From ""Yes Boss"")",Abhijeet,My Best Collection,spotify:track:5Cdd8p9sxRczQX6GFC8CdH
