ts,platform,ms_played,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,reason_start,reason_end,skipped,offline_timestamp
2023-11-11T22:03:21Z,ios,12746,Muqabala Muqabala,Mano,Hum Se Hai Muqabala - Kadalan - Original Motion Picture Soundtrack,spotify:track:0iG83qZ0ftWr43VggRYkp3,trackdone,fwdbtn,TRUE,1699740187
2023-11-11T22:08:17Z,ios,296720,Soniye,KK,Aksar,spotify:track:5O4AGvOVFSs5ipu3iNOuoi,fwdbtn,trackdone,FALSE,1699740202
2023-11-11T22:13:24Z,ios,307373,"Maine Poochha Chand Se - From ""Abdullah""",Mohammed Rafi,Audiobiography,spotify:track:0i6U12LOWlHNngec0HCroE,trackdone,trackdone,FALSE,1699740497
2023-11-11T22:13:45Z,ios,18486,"Kya Yahi Pyar Hai - From ""Rocky""",Lata Mangeshkar,Audiobiography,spotify:track:7Avl75LRSHu6J13bt67W2o,trackdone,fwdbtn,TRUE,1699740805
2023-11-11T22:18:09Z,ios,266145,Ek Ajnabee Haseena Se,Kishore Kumar,Ajanabee,spotify:track:1mPNK9DQVA7gJNtJ20PZu3,fwdbtn,trackdone,FALSE,1699740825
2023-11-11T22:22:39Z,ios,257034,Aye Udi Udi Udi,A.R. Rahman,Saathiya,spotify:track:6K0Ea7pq2trf6SwsfEKkOp,trackdone,endplay,TRUE,1699741090
2023-11-11T22:22:40Z,ios,1240,Kya Khoob Lagti Ho,Mukesh,Dharmatma,spotify:track:3h5YZTfJ4BBpvLVHS6lGUl,fwdbtn,endplay,TRUE,1699741359
2023-11-11T22:23:15Z,ios,34950,Maine Payal Hai Chhankai,Falguni Pathak,Maine Payal Hai Chhankai & Other Hits,spotify:track:51EUKH2M1QGN50iGUlnxmU,fwdbtn,fwdbtn,TRUE,1699741361
2023-11-11T22:23:16Z,ios,1060,Main Shair To Nahin,Shailendra Singh,Bobby,spotify:track:5YG3JN18pDZGnbSVyWrYqe,fwdbtn,fwdbtn,TRUE,1699741396
2023-11-11T22:28:04Z,ios,288480,"Dilbar Mere - From ""Satte Pe Satta""",Kishore Kumar,Audiobiography - Kishore Kumar,spotify:track:03GR8YoEsu0qPUGC13X8C1,fwdbtn,trackdone,FALSE,1699741397
2023-11-11T22:28:12Z,ios,6540,"Hothon Se Chhu Lo Tum - From ""Prem Geet""",Jagjit Singh,Dard-E-Jigar,spotify:track:4mBmsPcPa1Eu4LDTHq55Ab,trackdone,fwdbtn,TRUE,1699741684
2023-11-11T22:28:14Z,ios,1920,Hai Apna Dil To Aawara (Happy),Hemant Kumar,"Baarishein, Chai Aur Hemant Kumar",spotify:track:5LrCiTYu4iTjgUXM758Igj,fwdbtn,fwdbtn,TRUE,1699741692
2023-11-11T22:28:16Z,ios,2110,Main Zindagi Ka Saath Nibhata Chala Gaya,Mohammed Rafi,Mohammed Rafi Suron Ka Anar,spotify:track:54knXqMHVticNWFlTehYtf,fwdbtn,fwdbtn,TRUE,1699741694
2023-11-11T22:28:18Z,ios,1580,Phir Le Aya Dil,Pritam,Barfi! (Original Motion Picture Soundtrack),spotify:track:2OvldWM8rVnp7QCn9eCrr1,fwdbtn,fwdbtn,TRUE,1699741697
2023-11-11T22:28:20Z,ios,1620,Aa Chal Ke Tujhe,Kishore Kumar,Door Gagan Ki Chhaon Mein,spotify:track:53keqrDTkt1GE9hJgUoql4,fwdbtn,fwdbtn,TRUE,1699741698
2023-11-11T22:28:22Z,ios,1950,Zindagi Kaisi Hai Paheli,Manna Dey,Anand,spotify:track:3JlCtKzdOP25gelnwMI9RF,fwdbtn,fwdbtn,TRUE,1699741700
2023-11-11T22:28:38Z,ios,15330,Tum Ko Dekha To Yeh Khayal Aaya,Jagjit Singh,Saath Saath,spotify:track:66KBRmenGEJkTKtbTWl7tS,fwdbtn,endplay,TRUE,1699741702
2023-11-11T22:28:49Z,ios,10900,Tu Jo Mila,Pritam,Bajrangi Bhaijaan,spotify:track:7txLCGOXyDlDXTjtR1Sk4v,clickrow,endplay,TRUE,1699741718
