app,start,steps_count
com.google.android.apps.fitness,2025-01-21 07:52:00+00:00,24
com.fitbit.FitbitMobile,2025-01-21 08:22:00+00:00,3
com.google.android.apps.fitness,2025-01-21 08:22:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 08:23:00+00:00,17
com.google.android.apps.fitness,2025-01-21 08:23:00+00:00,17
com.fitbit.FitbitMobile,2025-01-21 08:24:00+00:00,2
com.google.android.apps.fitness,2025-01-21 08:24:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 08:25:00+00:00,24
com.google.android.apps.fitness,2025-01-21 08:25:00+00:00,24
com.fitbit.FitbitMobile,2025-01-21 08:26:00+00:00,47
com.google.android.apps.fitness,2025-01-21 08:26:00+00:00,47
com.fitbit.FitbitMobile,2025-01-21 08:27:00+00:00,60
com.google.android.apps.fitness,2025-01-21 08:27:00+00:00,60
com.fitbit.FitbitMobile,2025-01-21 08:28:00+00:00,3
com.google.android.apps.fitness,2025-01-21 08:28:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 08:29:00+00:00,26
com.google.android.apps.fitness,2025-01-21 08:29:00+00:00,26
com.fitbit.FitbitMobile,2025-01-21 08:30:00+00:00,14
com.google.android.apps.fitness,2025-01-21 08:30:00+00:00,14
com.fitbit.FitbitMobile,2025-01-21 08:31:00+00:00,2
com.google.android.apps.fitness,2025-01-21 08:31:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 08:32:00+00:00,12
com.google.android.apps.fitness,2025-01-21 08:32:00+00:00,12
com.fitbit.FitbitMobile,2025-01-21 08:49:00+00:00,1
com.google.android.apps.fitness,2025-01-21 08:49:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 08:50:00+00:00,12
com.google.android.apps.fitness,2025-01-21 08:50:00+00:00,12
com.fitbit.FitbitMobile,2025-01-21 08:51:00+00:00,3
com.google.android.apps.fitness,2025-01-21 08:51:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 08:52:00+00:00,60
com.google.android.apps.fitness,2025-01-21 08:52:00+00:00,60
com.fitbit.FitbitMobile,2025-01-21 08:53:00+00:00,36
com.google.android.apps.fitness,2025-01-21 08:53:00+00:00,36
com.fitbit.FitbitMobile,2025-01-21 08:54:00+00:00,58
com.google.android.apps.fitness,2025-01-21 08:54:00+00:00,58
com.fitbit.FitbitMobile,2025-01-21 08:55:00+00:00,55
com.google.android.apps.fitness,2025-01-21 08:55:00+00:00,55
com.fitbit.FitbitMobile,2025-01-21 08:56:00+00:00,1
com.google.android.apps.fitness,2025-01-21 08:56:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 08:57:00+00:00,10
com.google.android.apps.fitness,2025-01-21 08:57:00+00:00,10
com.fitbit.FitbitMobile,2025-01-21 08:58:00+00:00,16
com.google.android.apps.fitness,2025-01-21 08:58:00+00:00,16
com.fitbit.FitbitMobile,2025-01-21 08:59:00+00:00,34
com.google.android.apps.fitness,2025-01-21 08:59:00+00:00,34
com.google.android.apps.fitness,2025-01-21 09:00:00+00:00,23
com.google.android.apps.fitness,2025-01-21 09:01:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 09:05:00+00:00,3
com.google.android.apps.fitness,2025-01-21 09:05:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 09:06:00+00:00,1
com.google.android.apps.fitness,2025-01-21 09:06:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 09:22:00+00:00,1
com.google.android.apps.fitness,2025-01-21 09:22:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 09:23:00+00:00,8
com.google.android.apps.fitness,2025-01-21 09:23:00+00:00,8
com.fitbit.FitbitMobile,2025-01-21 09:24:00+00:00,53
com.google.android.apps.fitness,2025-01-21 09:24:00+00:00,53
com.fitbit.FitbitMobile,2025-01-21 09:25:00+00:00,7
com.google.android.apps.fitness,2025-01-21 09:25:00+00:00,7
com.fitbit.FitbitMobile,2025-01-21 09:50:00+00:00,4
com.google.android.apps.fitness,2025-01-21 09:50:00+00:00,4
com.fitbit.FitbitMobile,2025-01-21 09:51:00+00:00,20
com.google.android.apps.fitness,2025-01-21 09:51:00+00:00,20
com.fitbit.FitbitMobile,2025-01-21 09:52:00+00:00,11
com.google.android.apps.fitness,2025-01-21 09:52:00+00:00,11
com.google.android.apps.fitness,2025-01-21 09:53:00+00:00,8
com.fitbit.FitbitMobile,2025-01-21 11:40:00+00:00,33
com.google.android.apps.fitness,2025-01-21 11:40:00+00:00,33
com.fitbit.FitbitMobile,2025-01-21 11:41:00+00:00,57
com.google.android.apps.fitness,2025-01-21 11:41:00+00:00,57
com.fitbit.FitbitMobile,2025-01-21 11:42:00+00:00,53
com.google.android.apps.fitness,2025-01-21 11:42:00+00:00,53
com.fitbit.FitbitMobile,2025-01-21 11:43:00+00:00,18
com.google.android.apps.fitness,2025-01-21 11:43:00+00:00,18
com.fitbit.FitbitMobile,2025-01-21 11:44:00+00:00,50
com.google.android.apps.fitness,2025-01-21 11:44:00+00:00,50
com.google.android.apps.fitness,2025-01-21 11:45:00+00:00,23
com.fitbit.FitbitMobile,2025-01-21 12:28:00+00:00,2
com.google.android.apps.fitness,2025-01-21 12:28:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 12:29:00+00:00,7
com.google.android.apps.fitness,2025-01-21 12:29:00+00:00,7
com.google.android.apps.fitness,2025-01-21 12:30:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 12:37:00+00:00,2
com.google.android.apps.fitness,2025-01-21 12:37:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 12:38:00+00:00,14
com.google.android.apps.fitness,2025-01-21 12:38:00+00:00,14
com.fitbit.FitbitMobile,2025-01-21 12:39:00+00:00,7
com.google.android.apps.fitness,2025-01-21 12:39:00+00:00,7
com.google.android.apps.fitness,2025-01-21 12:40:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 12:41:00+00:00,1
com.google.android.apps.fitness,2025-01-21 12:41:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 12:42:00+00:00,15
com.google.android.apps.fitness,2025-01-21 12:42:00+00:00,15
com.fitbit.FitbitMobile,2025-01-21 12:43:00+00:00,2
com.google.android.apps.fitness,2025-01-21 12:43:00+00:00,2
com.fitbit.FitbitMobile,2025-01-21 12:44:00+00:00,17
com.google.android.apps.fitness,2025-01-21 12:44:00+00:00,17
com.fitbit.FitbitMobile,2025-01-21 12:45:00+00:00,19
com.google.android.apps.fitness,2025-01-21 12:45:00+00:00,19
com.fitbit.FitbitMobile,2025-01-21 12:46:00+00:00,59
com.google.android.apps.fitness,2025-01-21 12:46:00+00:00,59
com.fitbit.FitbitMobile,2025-01-21 12:47:00+00:00,6
com.google.android.apps.fitness,2025-01-21 12:47:00+00:00,6
com.google.android.apps.fitness,2025-01-21 12:48:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 12:49:00+00:00,1
com.google.android.apps.fitness,2025-01-21 12:49:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 12:50:00+00:00,9
com.google.android.apps.fitness,2025-01-21 12:50:00+00:00,9
com.fitbit.FitbitMobile,2025-01-21 12:51:00+00:00,28
com.google.android.apps.fitness,2025-01-21 12:51:00+00:00,28
com.fitbit.FitbitMobile,2025-01-21 12:52:00+00:00,14
com.google.android.apps.fitness,2025-01-21 12:52:00+00:00,14
com.google.android.apps.fitness,2025-01-21 12:53:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 12:59:00+00:00,1
com.google.android.apps.fitness,2025-01-21 12:59:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 13:00:00+00:00,1
com.google.android.apps.fitness,2025-01-21 13:00:00+00:00,1
com.fitbit.FitbitMobile,2025-01-21 13:01:00+00:00,13
com.google.android.apps.fitness,2025-01-21 13:01:00+00:00,13
com.fitbit.FitbitMobile,2025-01-21 13:02:00+00:00,42
com.google.android.apps.fitness,2025-01-21 13:02:00+00:00,42
com.google.android.apps.fitness,2025-01-21 13:03:00+00:00,20
com.fitbit.FitbitMobile,2025-01-21 13:04:00+00:00,8
com.google.android.apps.fitness,2025-01-21 13:04:00+00:00,8
com.fitbit.FitbitMobile,2025-01-21 13:05:00+00:00,15
com.google.android.apps.fitness,2025-01-21 13:05:00+00:00,15
com.fitbit.FitbitMobile,2025-01-21 13:06:00+00:00,50
com.google.android.apps.fitness,2025-01-21 13:06:00+00:00,50
com.fitbit.FitbitMobile,2025-01-21 13:07:00+00:00,47
com.google.android.apps.fitness,2025-01-21 13:07:00+00:00,47
com.fitbit.FitbitMobile,2025-01-21 13:08:00+00:00,77
com.google.android.apps.fitness,2025-01-21 13:08:00+00:00,77
com.fitbit.FitbitMobile,2025-01-21 13:09:00+00:00,44
com.google.android.apps.fitness,2025-01-21 13:09:00+00:00,44
com.fitbit.FitbitMobile,2025-01-21 13:10:00+00:00,4
com.google.android.apps.fitness,2025-01-21 13:10:00+00:00,4
com.fitbit.FitbitMobile,2025-01-21 13:11:00+00:00,12
com.google.android.apps.fitness,2025-01-21 13:11:00+00:00,12
com.google.android.apps.fitness,2025-01-21 14:41:00+00:00,56
com.fitbit.FitbitMobile,2025-01-21 14:43:00+00:00,60
com.google.android.apps.fitness,2025-01-21 14:43:00+00:00,60
com.fitbit.FitbitMobile,2025-01-21 14:44:00+00:00,41
com.google.android.apps.fitness,2025-01-21 14:44:00+00:00,41
com.fitbit.FitbitMobile,2025-01-21 15:11:00+00:00,22
com.google.android.apps.fitness,2025-01-21 15:11:00+00:00,22
com.fitbit.FitbitMobile,2025-01-21 15:12:00+00:00,24
com.google.android.apps.fitness,2025-01-21 15:12:00+00:00,24
com.fitbit.FitbitMobile,2025-01-21 15:13:00+00:00,6
com.google.android.apps.fitness,2025-01-21 15:13:00+00:00,6
com.fitbit.FitbitMobile,2025-01-21 15:14:00+00:00,22
com.google.android.apps.fitness,2025-01-21 15:14:00+00:00,22
com.fitbit.FitbitMobile,2025-01-21 15:15:00+00:00,86
com.google.android.apps.fitness,2025-01-21 15:15:00+00:00,86
com.fitbit.FitbitMobile,2025-01-21 15:16:00+00:00,53
com.google.android.apps.fitness,2025-01-21 15:16:00+00:00,53
com.fitbit.FitbitMobile,2025-01-21 15:17:00+00:00,26
com.google.android.apps.fitness,2025-01-21 15:17:00+00:00,26
com.fitbit.FitbitMobile,2025-01-21 15:18:00+00:00,14
com.google.android.apps.fitness,2025-01-21 15:18:00+00:00,14
com.fitbit.FitbitMobile,2025-01-21 15:19:00+00:00,21
com.google.android.apps.fitness,2025-01-21 15:19:00+00:00,21
com.fitbit.FitbitMobile,2025-01-21 15:30:00+00:00,36
com.google.android.apps.fitness,2025-01-21 15:30:00+00:00,36
com.fitbit.FitbitMobile,2025-01-21 15:31:00+00:00,76
com.google.android.apps.fitness,2025-01-21 15:31:00+00:00,76
com.fitbit.FitbitMobile,2025-01-21 15:32:00+00:00,16
com.google.android.apps.fitness,2025-01-21 15:32:00+00:00,16
com.google.android.apps.fitness,2025-01-21 15:33:00+00:00,14
com.google.android.apps.fitness,2025-01-21 15:42:00+00:00,3
com.fitbit.FitbitMobile,2025-01-21 15:42:00+00:00,20
com.google.android.apps.fitness,2025-01-21 15:42:00+00:00,20
com.fitbit.FitbitMobile,2025-01-21 15:43:00+00:00,13
com.google.android.apps.fitness,2025-01-21 15:43:00+00:00,13
com.fitbit.FitbitMobile,2025-01-21 15:45:00+00:00,18
com.google.android.apps.fitness,2025-01-21 15:45:00+00:00,18
com.fitbit.FitbitMobile,2025-01-21 15:48:00+00:00,4
com.google.android.apps.fitness,2025-01-21 15:48:00+00:00,4
com.fitbit.FitbitMobile,2025-01-21 15:49:00+00:00,15
com.google.android.apps.fitness,2025-01-21 15:49:00+00:00,15
com.fitbit.FitbitMobile,2025-01-21 15:50:00+00:00,9
com.google.android.apps.fitness,2025-01-21 15:50:00+00:00,9
com.fitbit.FitbitMobile,2025-01-21 15:52:00+00:00,9
com.google.android.apps.fitness,2025-01-21 15:52:00+00:00,9
com.fitbit.FitbitMobile,2025-01-21 15:53:00+00:00,20
com.google.android.apps.fitness,2025-01-21 15:53:00+00:00,20
com.fitbit.FitbitMobile,2025-01-21 15:55:00+00:00,10
com.google.android.apps.fitness,2025-01-21 15:55:00+00:00,10
com.fitbit.FitbitMobile,2025-01-21 15:56:00+00:00,33
com.google.android.apps.fitness,2025-01-21 15:56:00+00:00,33
com.fitbit.FitbitMobile,2025-01-21 15:58:00+00:00,29
com.google.android.apps.fitness,2025-01-21 15:58:00+00:00,29
com.fitbit.FitbitMobile,2025-01-21 15:59:00+00:00,6
com.google.android.apps.fitness,2025-01-21 15:59:00+00:00,6
com.fitbit.FitbitMobile,2025-01-21 16:00:00+00:00,6
com.google.android.apps.fitness,2025-01-21 16:00:00+00:00,6
com.fitbit.FitbitMobile,2025-01-21 16:01:00+00:00,25
com.google.android.apps.fitness,2025-01-21 16:01:00+00:00,25
com.fitbit.FitbitMobile,2025-01-21 16:02:00+00:00,12
com.google.android.apps.fitness,2025-01-21 16:02:00+00:00,12
