app,end,start,floorsClimbed_floors,floorsClimbed_total_time
com.fitbit.FitbitMobile,2025-02-17 07:37:00+00:00,2025-02-17 07:36:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 08:01:00+00:00,2025-02-17 08:00:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 08:02:00+00:00,2025-02-17 08:01:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 08:48:00+00:00,2025-02-17 08:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 09:32:00+00:00,2025-02-17 09:31:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 10:39:00+00:00,2025-02-17 10:38:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-17 11:13:00+00:00,2025-02-17 11:12:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 11:19:00+00:00,2025-02-17 11:18:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 11:20:00+00:00,2025-02-17 11:19:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-17 12:31:00+00:00,2025-02-17 12:30:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-19 15:31:00+00:00,2025-02-19 15:30:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 15:33:00+00:00,2025-02-19 15:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 15:31:00+00:00,2025-02-19 15:30:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 15:33:00+00:00,2025-02-19 15:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 17:11:00+00:00,2025-02-19 17:10:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 17:24:00+00:00,2025-02-19 17:23:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 15:31:00+00:00,2025-02-19 15:30:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 15:33:00+00:00,2025-02-19 15:32:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 17:11:00+00:00,2025-02-19 17:10:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 17:24:00+00:00,2025-02-19 17:23:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 18:22:00+00:00,2025-02-19 18:21:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-19 18:23:00+00:00,2025-02-19 18:22:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
com.fitbit.FitbitMobile,2025-02-20 21:34:00+00:00,2025-02-20 21:33:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:48:00+00:00,2025-02-20 21:47:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:49:00+00:00,2025-02-20 21:48:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:52:00+00:00,2025-02-20 07:51:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 07:53:00+00:00,2025-02-20 07:52:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:40:00+00:00,2025-02-20 19:39:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 19:56:00+00:00,2025-02-20 19:55:00+00:00,1,1.0
com.fitbit.FitbitMobile,2025-02-20 21:33:00+00:00,2025-02-20 21:32:00+00:00,2,1.0
